,age,handle,revenue,betcount,race_month_2018-01-01,race_month_2018-02-01,race_month_2018-03-01,race_month_2018-04-01,race_month_2018-05-01,address_CA,address_FL,address_KY,address_NY,gender_Female,gender_Male,internet_/_shop_Desktop,internet_/_shop_Mobile,bet_type_category_Exotic,bet_type_category_WPS
151,21,3.0,0.30000000000000004,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
152,21,17.0,2.04,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
153,21,214.0,21.4,2.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
154,21,15.0,1.7999999999999998,4.0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0
155,21,5.0,0.5,1.0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
156,21,14.999999999999993,1.7999999999999992,5.9999999999999964,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0
157,21,160.0,16.0,8.0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
158,21,10.0,1.0,1.0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1
159,21,5.0,0.6,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
160,21,12.0,1.2000000000000002,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
161,21,100.0,12.0,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
162,21,100.0,10.0,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
163,21,13.0,1.3,5.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
164,21,205.0,20.5,2.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
165,21,5.0,0.6,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
166,21,200.0,20.0,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
167,21,205.0,20.5,2.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
168,22,205.0,20.5,3.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
169,22,85.0,10.2,2.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
170,22,5.0,0.6,1.0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0
171,22,9.999999999999998,1.1999999999999995,2.0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
172,22,9.0,1.08,3.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
173,22,175.0,17.5,31.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
174,22,50.0,5.0,1.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
175,22,5.0,0.6,1.0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0
176,22,5.0,0.5,1.0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
177,22,70.0,8.4,17.99999999999999,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0
178,22,30.0,3.0,3.0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
179,22,13.0,1.56,4.0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0
180,22,179.0,17.900000000000006,7.0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
181,22,5.0,0.6,2.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
182,22,162.0,19.44,29.999999999999996,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
183,22,6.0,0.6000000000000001,2.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
184,22,88.00000000000004,10.560000000000002,22.0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0
185,22,15.0,1.7999999999999998,3.0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0
186,22,10.0,1.0,1.0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
187,22,205.0,20.5,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
188,22,10.0,1.2,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
189,22,15.0,1.5,3.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
190,22,199.0,23.88,20.0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0
191,22,138.0,13.8,16.0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1
192,22,79.0,9.48,7.0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0
193,22,40.0,4.0,4.0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
194,22,262.99999999999994,31.55999999999999,15.999999999999995,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
195,22,352.0,35.2,18.0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1
196,22,50.0,6.0,3.0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0
197,22,28.0,2.8000000000000003,2.0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1
198,22,3.0,0.36,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
199,22,217.0,21.700000000000006,52.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
